trade_date,open,high,low,close,adj_close,vol
2005/11/30,15028.74023,15072.83984,14936.90039,14937.13965,14937.13965,304252400
2005/12/1,14881.21973,15068.03027,14866.09961,15068.03027,15068.03027,412240200
2005/12/2,15178.09961,15232.32031,15129.29004,15200.37988,15200.37988,377939200
2005/12/5,15208.86035,15208.86035,15145.15039,15158.82031,15158.82031,222779400
2005/12/6,15156.83984,15161.87988,14967.78027,14990.61035,14990.61035,376164400
2005/12/7,15026.91992,15134.9502,14960.21973,15134.9502,15134.9502,335154000
2005/12/8,15095.17969,15095.17969,14860.54004,14879.16016,14879.16016,348480000
2005/12/9,14905.57031,14953.33984,14870.95996,14910.50977,14910.50977,232244400
2005/12/12,14991.62012,15079.95996,14972.05957,14984.40039,14984.40039,199318800
2005/12/13,14981.23047,14995.62988,14863.83984,14942.62012,14942.62012,330070000
2005/12/14,14981.4502,14981.4502,14867.71973,14976.25977,14976.25977,278860600
2005/12/15,15039.62988,15078.91992,15025.54004,15059.01953,15059.01953,318937000
2005/12/16,15077.98047,15078.37012,14967.78027,15029.80957,15029.80957,306449400
2005/12/19,15044.90039,15200.11035,15044.90039,15182.88965,15182.88965,310365600
2005/12/20,15172.12988,15200.7002,15128.58984,15169.16992,15169.16992,250971000
2005/12/21,15219.26953,15272.71973,15210.92969,15221.41992,15221.41992,243252200
2005/12/22,15251.09961,15252.4502,15170.91992,15182.53027,15182.53027,243697200
2005/12/23,15208.83984,15226.03027,15182.63965,15183.58008,15183.58008,164157400
2005/12/28,15076.94043,15173.48047,15049.41016,15101.54004,15101.54004,215911000
2005/12/29,15146.54981,15151.32031,15028.28027,15045.58984,15045.58984,266347000
2005/12/30,14959.41992,14972.2002,14811.63965,14876.42969,14876.42969,448872000
2006/1/3,14843.96973,14945.04981,14843.96973,14944.76953,14944.76953,250383000
2006/1/4,15112.75977,15208.86035,15085.44043,15200.05957,15200.05957,565220200
2006/1/5,15313.84961,15373.79004,15261.82031,15271.12988,15271.12988,514294600
2006/1/6,15327.29004,15347,15252.48047,15344.44043,15344.44043,397727400
2006/1/9,15497.96973,15602.87988,15497.71973,15547.42969,15547.42969,581542400
2006/1/10,15638.40039,15658.91016,15500.16016,15569.91016,15569.91016,581719000
2006/1/11,15584.54004,15725.46973,15584.54004,15650.87988,15650.87988,576574400
2006/1/12,15767.94043,15791.29981,15651.95996,15719.37012,15719.37012,503136400
2006/1/13,15672.38965,15792.36035,15670.76953,15787.96973,15787.96973,380816800
2006/1/16,15787.26953,15816.54004,15745.04004,15777.71973,15777.71973,393659200
2006/1/17,15798.51953,15798.51953,15550.23047,15576.2002,15576.2002,506251600
2006/1/18,15426.91992,15525.59961,15376.4502,15481.20996,15481.20996,437278800
2006/1/19,15555.78027,15675.26953,15549.67969,15670.41992,15670.41992,418395400
2006/1/20,15700.70996,15788.07031,15565.50977,15662.08008,15662.08008,556324200
2006/1/23,15454.79981,15497.92969,15412.25977,15464.76953,15464.76953,512870000
2006/1/24,15540.91992,15551.66016,15463.11035,15530.57031,15530.57031,334958200
2006/1/25,15560.66016,15572.37988,15487.67969,15520.38965,15520.38965,375993800
2006/1/26,15550.33008,15563.40039,15469.24023,15520.07031,15520.07031,361639800
2006/1/27,15659.20996,15770.4502,15650.69043,15753.13965,15753.13965,900109200
2006/2/1,15798.44043,15808.17969,15653.90039,15742.29981,15742.29981,540984600
2006/2/2,15771.33984,15775.65039,15666.94043,15691.69043,15691.69043,510822200
2006/2/3,15472.03027,15486.74023,15420.66016,15429.73047,15429.73047,565005800
2006/2/6,15415.87988,15564.95996,15374.88965,15548.05957,15548.05957,473072800
2006/2/7,15558.51953,15560.40039,15466.46973,15517.00977,15517.00977,526470000
2006/2/8,15451.20996,15469.50977,15327.07031,15373.44043,15373.44043,612390600
2006/2/9,15443.42969,15467.66992,15371.73047,15413.42969,15413.42969,397975800
2006/2/10,15365.38965,15443.4502,15355.44043,15425.9502,15425.9502,411900800
2006/2/13,15303.04004,15355.38965,15267.9502,15312.08984,15312.08984,406328000
2006/2/14,15241.66016,15445.07031,15240.9502,15420.32031,15420.32031,417382000
2006/2/15,15449.13965,15514.92969,15316.62988,15423.25977,15423.25977,436302800
2006/2/16,15495.79981,15495.79981,15436.53027,15450.87988,15450.87988,373306400
2006/2/17,15517.91992,15520.59961,15437.54004,15475.69043,15475.69043,354205000
2006/2/20,15525.74023,15627.04981,15525.74023,15598.66992,15598.66992,326216800
2006/2/21,15651.74023,15661.2002,15567.62988,15627.24023,15627.24023,359727400
2006/2/22,15613.86035,15641.78027,15584.26953,15635.71973,15635.71973,285357400
2006/2/23,15651.78027,15849.86035,15611.54981,15812.53027,15812.53027,527662800
2006/2/24,15848.5,15875.33008,15779.79004,15856.04981,15856.04981,350481000
2006/2/27,15943.63965,15999.30957,15890.79981,15949.88965,15949.88965,417455600
2006/2/28,15920.49023,15928.08008,15824.4502,15918.48047,15918.48047,357386400
2006/3/1,15768.20996,15887.62988,15768.20996,15818.08984,15818.08984,296409200
2006/3/2,15905.94043,15922.9502,15836.36035,15882.4502,15882.4502,294946800
2006/3/3,15887.66992,15896.55957,15802,15802,15802,398964400
2006/3/6,15812.71973,15845.2002,15777,15811.83008,15811.83008,280681600
2006/3/7,15835.46973,15835.46973,15560.62012,15602.36035,15602.36035,503860000
2006/3/8,15545.41992,15555.82031,15348.21973,15493.08984,15493.08984,496846400
2006/3/9,15526.08984,15555.61035,15458.78027,15510.12988,15510.12988,371035400
2006/3/10,15521.40039,15521.40039,15397.17969,15445.04981,15445.04981,227922800
2006/3/13,15542.79004,15545.84961,15469.76953,15542.07031,15542.07031,213722400
2006/3/14,15548.12988,15548.26953,15461.80957,15519.75977,15519.75977,285640000
2006/3/15,15647.42969,15762.11035,15647,15720.36035,15720.36035,324151000
2006/3/16,15753.36035,15773.73047,15668.33984,15729.04004,15729.04004,237243800
2006/3/17,15778.48047,15845.96973,15715.41016,15801.66016,15801.66016,431043600
2006/3/20,15868.49023,15973.00977,15862.90039,15929.9502,15929.9502,428078000
2006/3/21,15911.49023,15936.17969,15870.73047,15922.75,15922.75,249834200
2006/3/22,15790.4502,15840.13965,15619.13965,15642.80957,15642.80957,383483600
2006/3/23,15689.61035,15772.92969,15669.46973,15771.16992,15771.16992,315598200
2006/3/24,15778.17969,15792.04004,15671.62988,15716.45996,15716.45996,290918200
2006/3/27,15743.66992,15847.75,15694.11035,15815.87012,15815.87012,416034600
2006/3/28,15824.53027,15920.07031,15787,15856.58008,15856.58008,563170400
2006/3/29,15790.42969,15843.09961,15729.25977,15745.11035,15745.11035,365452000
2006/3/30,15819.41992,15954.91016,15819.41992,15880.69043,15880.69043,422453600
2006/3/31,15942.73047,15964.34961,15739.19043,15805.04004,15805.04004,424538400
2006/4/3,15904.96973,16076.74023,15877.44043,16063.75,16063.75,340218000
2006/4/4,16107.21973,16121.21973,16039.50977,16100.08984,16100.08984,380671000
2006/4/6,16222.29004,16423.31055,16190.54981,16411.13086,16411.13086,575474200
2006/4/7,16415.51953,16534.83008,16328.62988,16471.7793,16471.7793,450439600
2006/4/10,16383.58008,16527.93945,16374.58984,16521.58984,16521.58984,335448400
2006/4/11,16480.85938,16505.75977,16381.00977,16475.81055,16475.81055,295626400
2006/4/12,16414.36914,16427.56055,16260.87988,16310.75977,16310.75977,448174000
2006/4/13,16360.16016,16446.66992,16308.76953,16429.44922,16429.44922,337570600
2006/4/18,16534.90039,16643.80078,16533.07031,16637.5293,16637.5293,422676000
2006/4/19,16858.0293,16897.81055,16780.5293,16830.43945,16830.43945,564111600
2006/4/20,16888.88086,16953.25,16753.18945,16944.33984,16944.33984,436367800
2006/4/21,16893.51953,16991.51953,16808.61914,16912.15039,16912.15039,414154200
