trade_date,open,high,low,close,amt_change,pct_change
2014-12-05,1.5676,1.5695,1.5567,1.5583,-0.0094,-0.6
2014-12-08,1.5564,1.5679,1.5539,1.5649,0.0066,0.42
2014-12-09,1.5649,1.5717,1.5624,1.5682,0.0033,0.21
2014-12-10,1.5683,1.575,1.5645,1.5747,0.0065,0.41
2014-12-11,1.5746,1.5756,1.5649,1.5718,-0.0029,-0.18
2014-12-12,1.5714,1.5745,1.5692,1.5715,-0.0003,-0.02
2014-12-15,1.5722,1.5746,1.5599,1.5643,-0.0072,-0.46
2014-12-16,1.5634,1.5785,1.5608,1.5741,0.0098,0.63
2014-12-17,1.5741,1.5756,1.5543,1.5571,-0.017,-1.08
2014-12-18,1.5571,1.5677,1.5547,1.5666,0.0095,0.61
2014-12-19,1.5667,1.5682,1.5602,1.5629,-0.0037,-0.24
2014-12-22,1.5626,1.5665,1.5571,1.5576,-0.0053,-0.34
2014-12-23,1.5577,1.5607,1.5484,1.5519,-0.0057,-0.37
2014-12-24,1.552,1.5566,1.5501,1.5563,0.0044,0.28
2014-12-25,1.5563,1.5566,1.5527,1.5557,-0.0006,-0.04
2014-12-26,1.5557,1.5567,1.5535,1.5549,-0.0008,-0.05
2014-12-29,1.5551,1.5585,1.5504,1.5512,-0.0037,-0.24
2014-12-30,1.5511,1.5573,1.5498,1.5564,0.0052,0.34
2014-12-31,1.5561,1.5619,1.5547,1.5579,0.0015,0.1
2015-01-01,1.5579,1.5584,1.5543,1.5577,-0.0002,-0.01
2015-01-02,1.5576,1.5584,1.5325,1.5325,-0.0252,-1.62
2015-01-05,1.5286,1.5336,1.5199,1.5255,-0.007,-0.46
2015-01-06,1.5255,1.5273,1.5115,1.5134,-0.0121,-0.79
2015-01-07,1.5133,1.5155,1.5053,1.5104,-0.003,-0.2
2015-01-08,1.5104,1.5117,1.5032,1.5084,-0.002,-0.13
2015-01-09,1.5084,1.5174,1.5074,1.516,0.0076,0.5
2015-01-12,1.5187,1.5193,1.5096,1.5178,0.0018,0.12
2015-01-13,1.5169,1.5191,1.5074,1.5167,-0.0011,-0.07
2015-01-14,1.5166,1.5269,1.5142,1.5232,0.0065,0.43
2015-01-15,1.5232,1.5266,1.5148,1.5178,-0.0054,-0.35
2015-01-16,1.518,1.5234,1.5073,1.5148,-0.003,-0.2
2015-01-19,1.5139,1.5179,1.5079,1.5086,-0.0062,-0.41
2015-01-20,1.5143,1.5149,1.5136,1.5141,0.0055,0.36
2015-01-21,1.5143,1.5178,1.5074,1.514,-0.0001,-0.01
2015-01-22,1.5142,1.5211,1.4969,1.5003,-0.0137,-0.9
